Rayyan ID,methods,clustering,DFA,MDS,PCA,Classifier,Dimensionality reduction,Neural Network,title,key
rayyan-380414771,DFA,0,1,0,0,0,0,0,The vocal repertoire of Spermophilus tridecemlineatus,rayyan-380414771
rayyan-305067102,"DFA, PCA, silhouette clustering, agglomerative hierarchical clustering",1,1,0,1,0,0,0,Characterising the harmonic vocal repertoire of the Indian wolf (Canis lupus pallipes).,rayyan-305067102
rayyan-305067117,"DFA, PCA",0,1,0,1,0,0,0,The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis).,rayyan-305067117
rayyan-305067392,"DFA, K-means clustering, ANN",1,1,0,0,0,0,1,The use of Artificial Neural Networks to classify primate vocalizations: A pilot study on black lemurs.,rayyan-305067392
rayyan-305067081,DFA,0,1,0,0,0,0,0,Vocal repertoire and auditory sensitivity of white-throated woodrats (Neotoma albigula).,rayyan-305067081
rayyan-305067127,"DFA, PCA, UMAP, hierarchical agglomerative clustering",1,1,0,1,0,1,0,Role of auditory feedback for vocal production learning in the Egyptian fruit bat.,rayyan-305067127
rayyan-305067202,DFA,0,1,0,0,0,0,0,Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis.,rayyan-305067202
rayyan-305067253,DFA,0,1,0,0,0,0,0,Age- and sex-specific patterns of vocal behavior in De Brazza's monkeys (Cercopithecus neglectus).,rayyan-305067253
rayyan-305067862,DFA,0,1,0,0,0,0,0,Social calls of flying big brown bats (Eptesicus fuscus).,rayyan-305067862
rayyan-308549144,"DFA, PCA",0,1,0,1,0,0,0,"Vocal repertoire of the critically endangered white-headed langur ( Trachypithecus leucocephalus): Call types, acoustic structures, and related social-ecological contexts.",rayyan-308549144
rayyan-380414577,DFA,0,1,0,0,0,0,0,The vocal repertoire of the northern giant mouse lemur (Mirza zaza) in captivity,rayyan-380414577
rayyan-380414608,DFA,0,1,0,0,0,0,0,"Vocal Repertoire of Captive Capybara (Hydrochoerus hydrochaeris): Structure, Context and Function",rayyan-380414608
rayyan-380414610,LDA,0,1,0,0,0,0,0,The Vocal Repertoire of Pale Spear-Nosed Bats in a Social Roosting Context,rayyan-380414610
rayyan-380414612,"DFA, k-medians clustering",1,1,0,0,0,0,0,The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi),rayyan-380414612
rayyan-380414615,DFA,0,1,0,0,0,0,0,Vocal repertoire of adult captive red pandas (Ailurus fulgens),rayyan-380414615
rayyan-380414623,"DFA, two-step clustering",1,1,0,0,0,0,0,The Structure and Usage of Female and Male Mouse Ultrasonic Vocalizations Reveal only Minor Differences,rayyan-380414623
rayyan-380414648,"DFA, MDS",0,1,1,0,0,0,0,Analysis of acoustic elements and syntax in communication sounds emitted by mustached bats,rayyan-380414648
rayyan-380414713,DFA,0,1,0,0,0,0,0,Single‐note vocalizations of California ground squirrels: Graded signals and situation‐specificity of predator and socially evoked calls,rayyan-380414713
rayyan-380414805,DFA,0,1,0,0,0,0,0,Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii,rayyan-380414805
rayyan-305067419,DFA,0,1,0,0,0,0,0,Acoustic Structure and Contextual Use of Calls by Captive Male and Female Cheetahs (Acinonyx jubatus).,rayyan-305067419
rayyan-305067748,"DFA, UMAP, SVM; xgboost; NN",0,1,0,0,0,1,1,"Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: The case of bonobo calls.",rayyan-305067748
rayyan-305067789,"DFA, PCA",0,1,0,0,0,0,0,Acoustic and behavioral repertoires of the hippopotamus (Hippopotamus amphibius).,rayyan-305067789
rayyan-380414576,"DFA, K-means clustering",1,1,0,0,0,0,0,The vocal repertoire of Barbary macaques: a quantitative analysis of a graded signal system,rayyan-380414576
rayyan-380414597,DFA,0,1,0,0,0,0,0,THE VOCAL REPERTOIRE IN NORTHERN WHITE RHINOCEROS CERATOTHERIUM SIMUM COTTONI AS RECORDED IN THE LAST SURVIVING HERD,rayyan-380414597
rayyan-380414614,DFA,0,1,0,0,0,0,0,"Vocal repertoire, individual acoustic distinctiveness, and social networks in a group of captive Asian small-clawed otters (Aonyx cinerea)",rayyan-380414614
rayyan-380414637,DFA,0,1,0,0,0,0,0,Small Mammals Ignore Common Rules: A Comparison of Vocal Repertoires and the Acoustics between Pup and Adult Piebald Shrews Diplomesodon pulchellum,rayyan-380414637
rayyan-380414642,DFA,0,1,0,0,0,0,0,Quantitative acoustic analysis of the vocal repertoire of the crowned lemur,rayyan-380414642
rayyan-380414657,pDFA,0,1,0,0,0,0,0,The reliability of individual vocal signature varies across the bonobo's graded repertoire,rayyan-380414657
rayyan-380414662,DFA,0,1,0,0,0,0,0,"Classification of Captive North American River Otters (Lontra canadensis) Vocal Repertoires: Individual Variations, and Age Class Comparisons",rayyan-380414662
rayyan-305067467,"DFA, MANOVA",0,1,0,0,0,0,0,"Syllable acoustics, temporal patterns, and call composition vary with behavioral context in Mexican free-tailed bats.",rayyan-305067467
